Page Key,Back（請填：返回行為/返回到哪裡？如果不適用寫：無）,Data Needed - Display（請填：要顯示的資料欄位。例：任務名/幣別/金額，用•分隔）,Data Needed - Input（請填：要輸入/選擇的欄位。沒有就寫：無，用•分隔）,Entry（請填：從哪裡進來？列出來源頁/按鈕/情境，可多條，用•分隔）,Exit/Next（請填：主要完成後會去哪？列出目標頁/行為，用•分隔）,Old Page Key,Primary Actions（請填：主要操作/按鈕，最多3個，用•分隔）,Purpose（請填：這頁存在的目的/要解決的問題，1-2句）,Rules/Constraints（請填：重要規則/限制/防呆。例：單選/上限15/once-only，用•分隔）,UI Blocks（請填：畫面區塊組成。例：TopBar/列表/表單/按鈕區，用•分隔）,Variants,wireframe page,備註,頁面名稱,類型
D03_TaskCreate.Confirm,無,"・確認任務設定(標題)
・任務名稱
・開始期間
・結束期間
・結算幣別
・參加人數
・返回編輯按鈕
・確認按鈕",無,S16,S13,D03_TaskCreate.Confirm,"・Primary: 確認
・Secondary: 返回編輯",確認新增任務的資料,"・確認按鈕
- 參加人數超過1會跳出Share Sheet, 在SNS或Email上會有邀請訊息(系統準備好的訊息)跟邀請連結","Text,BodyText,PrimaryButton,SecondaryButton",,14,,確認新增任務,Dialog
S10_Home.TaskList,無,"・動畫
・任務清單(已完成)
- 該任務中自己所代表的農場動物頭像
- 任務名稱
- 任務期間",無,"App啟動後,Deeplink,S51","S13,S16",S02_Home.TaskList,・Primary: 新增任務,顯示所有任務的清單(已完成),"・動畫：鐵公雞沒有穿盔甲的等候中的動畫，左右看，眼睛張大，眨眼
・任務清單
- 清單可以一直下滑
- 一次最多load10個任務資料，超過再追加10個
- 最右方顯示天數","AppTopBar,SegmentedButton,List,Divider,PrimaryButton,animation,ListItem","• bucket=ended 
• data=present",5,,首頁：任務清單,Screen
B06_PaymentInfo.Detail,關閉 → 關閉 BottomSheet 回上一層,收款方式(多選結果) • 轉帳資訊文字 • 其他支付App清單（每筆名稱/帳號/備註）,無,S13（mode=settled/closed）→ 點「查看收款資訊」• 或 S32 → 點「回任務」後從主畫面進入,關閉 → 回到呼叫端,B06_Payout.Detail,複製 • 編輯（隊長）,顯示隊長設定的收款方式與收款資訊，提供一鍵複製，讓成員快速付款。,可點不同 Copy 入口：依點選項目複製「整段轉帳資訊」或「特定支付資訊」• 若無任何收款資訊則顯示 empty 狀態並提供隊長編輯入口（成員僅顯示說明）,ModalBottomSheet • Header(Title/Close) • 收款方式區塊 • 轉帳資訊區塊(可複製) • 其他支付App清單(可複製) • Footer(依角色顯示編輯/關閉),data=empty,44,收款資訊空狀態/尚未填,收款資訊詳情（BottomSheet）,BottomSheet
S13_Task.Dashboard,TopBar 左上 Home → S10（任務列表）,任務名;結算幣別(baseCurrency);Segmented狀態(大家/個人);各日紀錄清單(含旅遊期間外日期section),Segmented(大家/個人);點紀錄卡片;底部新增紀錄,使用者手動捲動到旅遊期間外日期section（例2/10）,點紀錄卡片→S15;點底部新增紀錄→S15;點餘額輪盤→B01,S06_TaskDashboard.Main,新增紀錄(底部);編輯紀錄;選擇餘額規則,允許使用者查看旅遊期間外的歷史/補登資料（chips不顯示該日期），新增改由底部入口進入。,日期chips固定只顯示旅遊期間內;旅遊期間外日期section不顯示inline「＋」;旅遊期間外新增只能透過底部新增紀錄按鈕,AppTopBar;SegmentedButton;DashboardCard;RecordCardList;BottomActionBar,"• mode=active
• segment=group
• trip_range=out",17,旅遊期間外：chips不含該日期；且該section不顯示「＋」。,任務 Dashboard（進行中）,Screen
S13_Task.Dashboard,TopBar 左上 Home → S10（任務列表）,任務名;結算幣別(baseCurrency);Segmented狀態(大家/個人);個人視角對象(memberId);各日紀錄清單(日期/類型/標題/原幣金額/幣別/換算金額/付款人/參與者摘要);各日小計(結算幣別);預收總額;費用總額;差額(剩餘差額);餘額處理方式顯示文字;旅遊期間(開始日/結束日),Segmented(大家/個人);日期chips(旅遊期間內);點紀錄卡片;旅遊期間內section「＋」新增;底部新增紀錄(旅遊期間外);結算(隊長);邀請/新增成員(隊長),S10 點選任務卡片;Deep link（已加入者）直接開啟任務;S15 保存返回;S15 保存/刪除返回;S14 返回,點選紀錄卡片→;旅遊期間內點「＋」→S15(日期預填為該section日期);點右上設定→S14;點餘額輪盤→B01,S06_TaskDashboard.Main,新增紀錄;編輯紀錄;選擇餘額規則,提供任務進行中的總覽（預收/費用/差額）與依日期分段的記錄管理，讓成員快速新增、回顧與修正帳務。,Segmented切換時下方全部內容更換(Dashboard/日期chips/列表);個人模式DashboardCard僅顯示不可點擊;日期chips只顯示旅遊期間內日期;列表可捲動到旅遊期間外日期section;旅遊期間內日期section才顯示inline「＋」新增;旅遊期間外不顯示inline「＋」且新增改走底部新增紀錄;點餘額輪盤才進入B01,AppTopBar;SegmentedButton;DashboardCard;DateChipsRow;SectionHeader;RecordCardList;InlineAddButton;BottomActionBar,"• mode=active
• segment=group
• trip_range=in",16,旅遊期間內：日期chips點選會捲動定位到該日section。,任務 Dashboard（進行中）,Screen
B03_SplitMethod.Edit,關閉/返回→回呼叫來源（不保存）•保存→回呼叫來源（回寫splitSetting）,當前金額•分攤方式=平均分攤•已選成員chips•成員清單(頭像/名字/選取狀態)•試算摘要,選擇/取消成員（預設全選）•（可切換分攤方式）,入口A：S15點RemainderCard•入口B：B02點「成員與分攤方式」列,保存→回呼叫來源並更新該卡片/列的分攤摘要•取消→回呼叫來源不變,B03_SplitMember.Select,保存•切換分攤方式•選擇成員,設定成員與分攤方式（平均分攤），回寫到呼叫來源（S15的RemainderCard或B02的splitItem）。,固定三選項：平均分攤/比例分攤/金額分攤（依語系）•預設=平均分攤+全員（若使用者未改）•至少需選1人•保存後回寫到來源：S15=更新RemainderCard分攤設定；B02=更新splitItem分攤設定•（兩段保存）若從B02進來：B03保存只回B02，需再按B02保存才回S15,BottomSheetHeader•SplitMethodTabs•SelectedMemberChips•MemberList•PreviewRow•PrimaryButtonRow,data=equal,24,B03：平均分攤（wireframe24）。,分攤成員選擇(平均分攤),BottomSheet
B03_SplitMethod.Edit,關閉/返回→回呼叫來源（不保存）•保存→回呼叫來源（回寫splitSetting）,當前金額•分攤方式=比例分攤•任務default比例資訊•已選成員chips•成員清單(頭像/名字/比例控制)•試算摘要,調整各成員比例（固定集合）•比例=0視為未選取•（可切換分攤方式）,入口A：S15點RemainderCard•入口B：B15點「成員與分攤方式」列,保存→回呼叫來源並更新分攤摘要•取消→回呼叫來源不變,B03_SplitMember.Select,保存•調整比例•切換分攤方式,以比例設定分攤，回寫到呼叫來源（S15的RemainderCard或B02的splitItem）。,固定三選項•比例值固定集合：0/0.5/1/1.5/2•進入比例分攤時：載入任務default比例作為初始值（可在此筆內手動改）•比例=0→立即視為未選取（chips移除+清單取消選取+不參與試算）•至少需選1人•保存後回寫到來源•（兩段保存）若從B02進來：B03保存只回B02，需再按B02保存才回S15,BottomSheetHeader•SplitMethodTabs•SelectedMemberChips•MemberList（含比例控制）•PreviewRow•PrimaryButtonRow,data=ratio,25,B03：比例分攤（wireframe25）。,分攤成員選擇(比例分攤),BottomSheet
B03_SplitMethod.Edit,關閉/返回→回呼叫來源（不保存）•保存→回呼叫來源（回寫splitSetting）,當前金額•分攤方式=金額分攤•已選成員chips（僅金額>0）•成員清單(頭像/名字/金額輸入)•合計/差額提示,輸入各成員分攤金額（初始全員=0）•金額=0視為未選取•（可切換分攤方式）,入口A：S15點RemainderCard•入口B：B02點「成員與分攤方式」列,保存→回呼叫來源並更新分攤摘要•取消→回呼叫來源不變,B03_SplitMember.Select,保存•輸入金額•切換分攤方式,以金額直接指定每人分攤，回寫到呼叫來源（S15的RemainderCard或B02的splitItem）。,固定三選項•進入金額分攤時初始全員金額=0→全員未選取•金額=0→視為未選取（chips移除+清單取消選取+不參與試算）•保存條件：已選成員金額合計=當前金額才可保存（否則保存disabled或提示）•保存後回寫到來源•（兩段保存）若從B02進來：B03保存只回B02，需再按B02保存才回S15,BottomSheetHeader•SplitMethodTabs•SelectedMemberChips•MemberList（含金額輸入）•TotalSummaryRow•PrimaryButtonRow,data=amount,26,B03：金額分攤（wireframe26）。,分攤成員選擇(金額分攤),BottomSheet
S15_Record.Edit,TopBar返回→回S13（未保存則捨棄變更）,Segmented狀態(費用/預收)•(create)預填日期•(edit)既存紀錄資料•標題(文字)•收據照片(Image)•任務結算幣別•母金額(amount)•金額輸入幣別(recordCurrency)•(若幣別≠結算幣別)匯率欄位顯示與換算結果（小字）•RemainderCard（remainderAmount=amount-sum(splitItems)•remainderSplitSetting摘要）•splitItems清單（每筆：名稱/金額/各自splitSetting摘要）,日期（可點選）•類別 •標題(文字)•金額數字•金額幣別（可點擊變更）•付款方式(含混合/代墊)•(若幣別≠結算幣別)匯率textField（可手改/可清空）•備註•收據照片(Image)•分攤設定（B03回寫）•新增/編輯splitItem（B02）,create：S13旅遊期間內section「＋」•create：S13底部「新增紀錄」•edit：S13點選費用紀錄卡片•B03保存後返回•B02保存後返回,保存→回S13•(edit)刪除→回S13•點日期→CustomDatePicker（Wheel M3-styled）•點幣別→幣別選擇•點RemainderCard→B03•點「細項分拆」→B02•點splitItem卡→B02,S08_RecordForm,保存•(edit)刪除•細項分拆,（費用expense）新增或編輯一筆費用紀錄；支援多幣別輸入與匯率自動帶入/可手改，以及從RemainderCard反覆切出多筆分拆細項。,mode=create|edit • type=expense（僅定義費用）•若使用者未做任何分攤設定變更：分攤預設=平均分攤+全員•輸入母金額(amount>0)後顯示RemainderCard（初始remainderAmount=amount）•RemainderCard金額=remainderAmount=amount-sum(splitItems)即時更新•RemainderCard可點進B03設定其分攤方式/成員；此設定同時作為「新增splitItem」的預設分攤設定來源•可重複分拆：每次點「細項分拆」都從remainderAmount切出新splitItem；splitItem不可再分拆但可編輯•remainderAmount=0時禁用「細項分拆」•幣別/匯率：金額欄位前的幣別可點擊變更（幣別選擇UI/行為與S12相同）；若recordCurrency≠結算幣別則顯示匯率textField並顯示換算結果；匯率預設由API取得並自動填入；使用者可手動修改；若使用者將匯率欄清空，系統會自動恢復為API取得的匯率（重新帶入）•若recordCurrency=結算幣別則不顯示匯率欄且不需匯率•日期選擇：點日期欄開CustomDatePicker（Wheel / Material3-styled）,AppTopBar•SegmentedButton•FormList•DateField（Wheel M3）•CategorySelect•AmountInput（CurrencyPicker同S16）•ConvertedAmountHint•ExchangeRateSection（條件顯示）•RemainderCard（點→B03）•AddSplitItemButton（附著在RemainderCard）•SplitItemList•SplitItemCard（點→B02）•NoteField•PrimaryButton•(edit)DeleteButton•NumericKeyboard,"• type=expense 
• mode=create | edit",21,補：幣別選擇UI/行為同S16；日期選擇用CustomDatePicker（Wheel M3-styled）。,紀錄(費用),Screen
S15_Record.Edit,TopBar返回→回S13（未保存則捨棄變更）,任務結算幣別•日期•類別•輸入幣別(recordCurrency)•輸入金額(amount)•(若recordCurrency≠結算幣別)換算金額提示(小字)•(若recordCurrency≠結算幣別)匯率textField顯示值(API預設)•(預收)支付來源摘要（預收款/成員代墊/金額）•(預收)預收款支付(prepayFundPayment：幣別+金額),日期（可點選）•類別（select）•金額數字•金額幣別（可點擊變更）•(若recordCurrency≠結算幣別)匯率textField（可手改/可清空）•(預收)支付來源（開B07）•Note•保存•(edit)刪除,create：S13底部「新增紀錄」(選擇預收)•edit：S13點選預收紀錄卡片•B07保存後返回,保存→回S13•(edit)刪除→回S13•點日期→CustomDatePicker（Wheel M3-styled）•點幣別→幣別選擇（同S12）•(預收)點「支付來源」→B07,S08_RecordForm,保存•(edit)刪除•(預收)支付來源,新增或編輯「預收」紀錄；可設定預收款資金來源（預收款/成員代墊/混合）並自動平衡。,mode=create|edit•type=prepay•幣別/匯率規則同費用版：recordCurrency≠結算幣別才顯示匯率textField；匯率API預設；可手改；清空→自動回復API匯率；recordCurrency=結算幣別不顯示匯率欄•日期picker同費用版•(預收)支付來源僅在預收顯示：點選開B07並回寫摘要（預收款/成員代墊/金額）•(預收)預收款支付為可輸入欄位（你更新的畫面）,AppTopBar•SegmentedButton•FormList•DateField（Wheel M3）•CategorySelect•AmountInput（CurrencyPicker同S16）•ExchangeRateSection（條件顯示）•ConvertedAmountHint•PrepaySourceRow（點→B07）•PrepayFundPaymentInput•NoteField•PrimaryButton•(edit)DeleteButton•NumericKeyboard,"• type=prepay
• mode=create | edit",27,此列為「預收」版本（S15同Page Key用Variants區分）。,紀錄(預收),Screen
B07_PaymentMethod.Edit,關閉或取消→回S15（不保存）•保存→回S15（回寫支付摘要）,費用總金額（totalAmount）•勾選狀態（預收款支付•成員代墊）•成員代墊總額（memberAdvanceTotal）•成員代墊明細（memberId→amount）•差額狀態（是否平衡）,勾選或取消成員代墊•成員清單每人金額輸入（0=未選取）,S15點選支付方式列,保存→回S15並更新摘要•取消→回S15不變,B07_PaymentMethod.Select,保存•取消•輸入金額,設定費用的支付方式為成員代墊。可與預收款支付混用並維持總額平衡。,method=member_advance•用在費用•輸入方式同金額分攤：每人金額欄位且金額=0視為未選取•Default：所有成員代墊金額=0•自動補差：雙方都啟用時最後編輯者為主另一側自動更新以使合計=totalAmount•你定案B：若只啟用成員代墊且未啟用預收款支付則必須分配使 memberAdvanceTotal=totalAmount 否則保存disabled,BottomSheetHeader•MemberAdvanceSection（checkbox）•MemberAmountList•SummaryFooter（總額•代墊合計•差額）•ButtonRow（取消•保存）,data=members,29,你定案B已套用：只選成員代墊且合計不足→保存disabled。,支付方式選單(成員代墊),BottomSheet
B07_PaymentMethod.Edit,關閉或取消→回S15（不保存）•保存→回S15（回寫支付摘要）,費用總金額（totalAmount）•可用預收款餘額（prepayBalance）•勾選狀態（預收款支付•成員代墊）•預收款支付金額（prepayPayAmount）•成員代墊總額（memberAdvanceTotal）•差額狀態（是否平衡）,勾選或取消預收款支付•預收款支付金額輸入（初始自動=totalAmount）,S15點選支付方式列,保存→回S15並更新摘要•取消→回S15不變,B07_PaymentMethod.Select,保存•取消•輸入金額,設定費用的支付方式為預收款支付並可手動輸入金額。可與成員代墊混用並維持總額平衡。,method=prepay•用在費用•可同時啟用預收款支付與成員代墊•Default：預收款支付金額預設=totalAmount；成員代墊各成員預設0•自動補差：最後被使用者編輯的那一側為主另一側自動更新以使合計=totalAmount•若僅啟用預收款支付則預收款支付=totalAmount且保存可按,BottomSheetHeader•PrepaySection（checkbox與amount input）•SummaryFooter（總額•預收款支付•代墊•差額）•ButtonRow（取消•保存）,data=prepay,28,命名已定案：B07_PaymentMethod.Select。,支付方式選單(預收款),BottomSheet
S52_TaskSettings.Log,返回到 S14,操作者頭像•操作者名稱•時間戳記(YYYY/MM/DD HH:mm)•事件文案•(可選)金額•(可選)幣別,無,S14 > 歷史紀錄,下載帳單 > Share Sheet(匯出PDF)•返回到 S14,S11_TaskHistory.Log,下載帳單•返回,提供任務內所有操作的歷史記錄，方便回溯與匯出保存。,只讀不可編輯•一次載入50筆•往下滑自動載入更多(每次+50)•事件內容固定格式僅顯示•下載範圍=全部記錄•下載以Share Sheet輸出PDF,TopBar(返回+標題)•LogList(InfiniteScroll)•BottomPrimaryButton(下載帳單),,31,下載內容為帳單PDF（依專案聖經）。,歷史紀錄,Screen
D09_TaskSettings.CurrencyConfirm,無,目前結算幣別•變更後結算幣別•影響說明文,確認/取消,S14•使用者變更「結算幣別」時（每次變更都觸發）,取消→回復成原結算幣別(不保存)•確認→套用新結算幣別並重新計算/重抓匯率,D09_BaseCurrencyChangeConfirm,取消•確認,在使用者變更結算幣別前，明確告知影響並避免誤操作造成大幅資料變動。,每次變更結算幣別都要顯示（非 once-only）•確認後：所有換算金額重新計算•需要匯率的項目回到 API 預設值（使用者曾手動改過也會被重置）•取消則不保存此變更,AlertDialog•TitleText•BodyText(影響說明)•DialogActions(取消/確認),,,每次變更結算幣別都要顯示 dialog。,變更結算幣別確認,Dialog
S13_Task.Dashboard,返回上一層（依導航：Home 或 上一個Screen）,任務名•結算幣別•我的結算額（可收回/需支付）•日期區塊•各紀錄摘要（類型/金額/換算）,無,S13（預設進入）•S13（個人）切換,留在本頁（切換 segment）•點某筆紀錄→ S15（費用/預收，依類型）,S06_TaskDashboard.Main,切換Segment（大家/個人）,提供任務主頁資訊總覽；此variant顯示『個人』視角（只看與自己相關的金額與紀錄）。,Segment=個人•資料同S13但篩選為個人相關•清單可往下滑 load more / infinite scroll,TopBar/SegmentedControl/DateSectionsList/RecordRow/BottomNav,"• mode=active
• segment=personal
• trip_range=all",19,,任務主畫面（個人）,Screen
D08_TaskClosed.Confirm,關閉Dialog，返回 S12,任務名稱•資料保留30天提示•不可回復提示文案,無,S12•點「結束任務」,點「結束任務」→ 執行 CloseTask（強制結束）→ 前往 S13(mode=closed)•點「返回」→ 關閉Dialog,D08_TaskClose.Confirm,返回•結束任務,強制結束任務前的確認；確認後直接結束任務並進入唯讀下載模式。,確認後不可回復•結束後資料僅保留30天•結束後僅提供下載帳單,DialogTitle•DialogBodyText•ButtonRow(返回/結束任務),,47,強制結束流程：S10 → S12 → D08 → S13(mode=close)。此步即執行結束。,結束任務確認,Dialog
S13_Task.Dashboard,返回上一層（Home）,任務名•結算幣別•結束提示文案•帳單下載狀態,無,任務已結束（close）→ 進入 S13（mode=close）,點【下載帳單】→ Share Sheet（使用者選擇存放位置）,S06_TaskDashboard.Main,下載帳單,任務結束後的唯讀主畫面：顯示結束狀態與提供帳單下載。,mode=close•唯讀（所有編輯入口灰階/不可點）•資料保留30天，逾期刪除•下載範圍=全部•下載後走 Share Sheet,TopBar/CloseStateAnimation/NoticeText/PrimaryButton,mode=closed,33,"強制結束任務後回到 Dashboard 看到的狀態（Q23=B）
此mode下畫面只有動畫+下載按鈕；其他功能皆不可用
任務設定入口灰階不可點。",任務主畫面（結束後）,Screen
B04_Payment.Merge,關閉 BottomSheet（不保存任何變更）,代表成員(頭像/名稱/應付或應收金額)•可選擇成員清單(頭像/名稱/應付或應收金額/勾選狀態),勾選要合併的成員(多選),S30（成員卡右側『合併』）,合併→ 回 S14 並套用合併狀態•取消→ 關閉 BottomSheet,B04_Payment.Merge,合併•取消,讓使用者把多位成員的支付/退款行為合併到同一位代表成員，減少實際付款/退款筆數。,至少勾選 1 位成員才可按『合併』•可取消勾選(回到本 BottomSheet 並帶入目前合併狀態)•『代表成員』= 從哪張卡點『合併』進來的那個人•代表成員不可被其他人合併(全域禁止)•僅顯示尚未成為代表成員/尚未被合併的成員（依你規則）,BottomSheetHeader(標題/說明)•代表成員區塊•可選擇成員列表(checkbox)•BottomBar(取消/合併),,36,回到本頁需帶入目前合併狀態（勾選可取消）。,合併成員設定,BottomSheet
S13_Task.Dashboard,無（此模式為結算後/結束後儀表板；任務設定 icon 灰階不可點）,任務名•結算幣別•隊長應收總額•餘額罐得主•待處理成員(頭像/名稱/應付或應收金額/狀態)•已處理成員(頭像/名稱/應付或應收金額/狀態),無,強制結束流程：S10→S12→D08→ 本頁(mode=close)•或正常結算完成後進入（依你後續定義）,通知成員→ 系統行為(分享/通知)•下載帳單→ Share Sheet(帳單CSV/檔案由使用者決定存放位置),S06_TaskDashboard.Main,通知成員•下載帳單,在任務結束後提供最終結果總覽與下載帳單入口；不再允許編輯任務資料。,此模式無『個人』頁與 Segment 切換•內容僅顯示（不可編輯）•結算額=0 仍需顯示•狀態可標示待處理/已處理（隊長可操作的行為另由流程定義）,TopBar(Home/任務名/設定icon-disabled)•結算摘要卡•提示/說明區（可選）•待處理區(列表)•已處理區(列表)•BottomBar(通知成員/下載帳單),"• mode=settled
• state=pending",41,結算後不再有『個人』頁；只有下載與通知。,任務主畫面（結算後）,Screen
S71_SystemSettings.Tos,返回 → 回到呼叫端（S50或 S70）,文件標題（服務條款/隱私政策） • 文件URL • Web內容,無,S50 → 點「服務條款」/「隱私政策」 • S70 → 點「服務條款」/「隱私政策」,返回 → 回到上一頁,S19_Settings.Tos,返回 • 重新整理 • 在瀏覽器開啟,在 App 內以 WebView 顯示服務條款/隱私政策，讓使用者可隨時查閱；不需要離開 App。,doc=tos / doc=privacy 依入口按鈕決定（兩個 URL） • 以 in-app WebView 顯示 • 預設載入成功時隱藏 Loading • 讀取失敗/離線時顯示 Error State（可重試/可外部瀏覽器開啟）,TopAppBar(標題/返回) • WebView • Loading Indicator • Error State(重試/外部瀏覽器開啟),• data=tos | privacy,,兩個 URL：ToS 與 PrivacyPolicy 分開。入口可能來自 Onboarding 同意頁（S50）或系統設定頁（S70），返回必須回到呼叫端；若需記錄來源，可用 route param `from=`（可選）。,服務條款 / 隱私政策（WebView）,Screen
